Loading Matrix-market coordinate-formatted graph ...
Reading from ../../../maps/gh009.mtx:
  Parsing MARKET COO format (16777216 nodes, 265114400 directed edges)... Done parsing (46s).
  Converting 16777216 vertices, 265114400 directed edges (unordered tuples) to CSR format...
Done converting (6s).

Degree Histogram (16777216 vertices, 265114400 edges):
    Degree   0: 1 (0.00%)
    Degree 2^0: 54 (0.00%)
    Degree 2^1: 2064 (0.01%)
    Degree 2^2: 190846 (1.14%)
    Degree 2^3: 7967474 (47.49%)
    Degree 2^4: 8612951 (51.34%)
    Degree 2^5: 3826 (0.02%)

Using 1 GPU: [ 0 ].
Using traversal mode LB
__________________________
0	 1219	 0	 queue3 	 oversize :	 24738109 ->	 24779719
0	 1220	 0	 queue3 	 oversize :	 24779719 ->	 24810849
0	 1221	 0	 queue3 	 oversize :	 24810849 ->	 24837939
0	 1222	 0	 queue3 	 oversize :	 24837939 ->	 24882904
0	 1223	 0	 queue3 	 oversize :	 24882904 ->	 24900146
0	 1224	 0	 queue3 	 oversize :	 24900146 ->	 24975966
0	 1226	 0	 queue3 	 oversize :	 24975966 ->	 25011256
0	 1227	 0	 queue3 	 oversize :	 25011256 ->	 25047886
0	 1228	 0	 queue3 	 oversize :	 25047886 ->	 25075652
0	 1229	 0	 queue3 	 oversize :	 25075652 ->	 25134203
0	 1231	 0	 queue3 	 oversize :	 25134203 ->	 25182131
0	 1233	 0	 queue3 	 oversize :	 25182131 ->	 25191215
0	 1234	 0	 queue3 	 oversize :	 25191215 ->	 25263694
0	 1235	 0	 queue3 	 oversize :	 25263694 ->	 25319876
0	 1236	 0	 queue3 	 oversize :	 25319876 ->	 25329726
0	 1237	 0	 queue3 	 oversize :	 25329726 ->	 25358806
0	 1239	 0	 queue3 	 oversize :	 25358806 ->	 25389548
0	 1241	 0	 queue3 	 oversize :	 25389548 ->	 25429204
0	 1242	 0	 queue3 	 oversize :	 25429204 ->	 25490349
0	 1243	 0	 queue3 	 oversize :	 25490349 ->	 25515155
0	 1244	 0	 queue3 	 oversize :	 25515155 ->	 25541881
0	 1245	 0	 queue3 	 oversize :	 25541881 ->	 25555775
